City	State	ST	County	ShapeID	AreaSqMiles	Population	Territory
Roxbury	Massachusetts	MA	Suffolk	351	1.59	24,767	Terr 1
Roxbury Crossing	Massachusetts	MA	Suffolk	352	0.63	14,221	Terr 1
Dorchester	Massachusetts	MA	Suffolk	353	1.75	27,093	Terr 1
Dorchester	Massachusetts	MA	Norfolk	354	2.67	24,546	Terr 1
Dorchester Center	Massachusetts	MA	Suffolk	355	3.07	51,382	Terr 1
Dorchester	Massachusetts	MA	Suffolk	356	2.44	34,172	Terr 1
Mattapan	Massachusetts	MA	Suffolk	357	2.12	27,984	Terr 1
Boston	Massachusetts	MA	Suffolk	358	2.63	33,825	Terr 1
Boston	Massachusetts	MA	Suffolk	359	6.00	43,575	Terr 1
Charlestown	Massachusetts	MA	Suffolk	360	1.84	17,454	Terr 1
Jamaica Plain	Massachusetts	MA	Suffolk	361	3.47	37,541	Terr 1
Roslindale	Massachusetts	MA	Suffolk	362	2.59	30,960	Terr 1
West Roxbury	Massachusetts	MA	Suffolk	363	4.66	27,628	Terr 1
Allston	Massachusetts	MA	Suffolk	364	1.37	19,009	Terr 1
Brighton	Massachusetts	MA	Suffolk	365	2.85	36,932	Terr 1
Hyde Park	Massachusetts	MA	Suffolk	366	4.69	29,271	Terr 1
Cambridge	Massachusetts	MA	Middlesex	367	3.06	35,554	Terr 1
Cambridge	Massachusetts	MA	Middlesex	368	1.69	36,015	Terr 1
Cambridge	Massachusetts	MA	Middlesex	369	1.19	18,164	Terr 1
Cambridge	Massachusetts	MA	Middlesex	370	0.66	13,126	Terr 1
Cambridge	Massachusetts	MA	Middlesex	371	0.50	2,838	Terr 1
Somerville	Massachusetts	MA	Middlesex	372	1.54	26,056	Terr 1
Somerville	Massachusetts	MA	Middlesex	373	1.08	23,854	Terr 1
Somerville	Massachusetts	MA	Middlesex	374	1.48	24,659	Terr 1
Malden	Massachusetts	MA	Middlesex	375	5.08	59,819	Terr 1
Everett	Massachusetts	MA	Middlesex	376	3.67	42,076	Terr 1
Chelsea	Massachusetts	MA	Suffolk	377	2.46	36,222	Terr 1
